| Model | Llamafile | Download URL | General Chat | Writing / Redaction | Coding | RAG / Docs | Vision |
|---|---|---|---|---|---|---|---|
| Qwen 0.8B | `Qwen3.5-0.8B-Q8_0.llamafile` | https://huggingface.co/mozilla-ai/llamafile_0.10/resolve/main/Qwen3.5-0.8B-Q8_0.llamafile | Fast/basic | Basic-good | Limited | Small docs | No |
| Qwen 2B | `Qwen3.5-2B-Q8_0.llamafile` | https://huggingface.co/mozilla-ai/llamafile_0.10/resolve/main/Qwen3.5-2B-Q8_0.llamafile | Good | Good | Basic | Lightweight | No |
| Ministral 3B | `Ministral-3-3B-Instruct-2512-Q4_K_M.llamafile` | https://huggingface.co/mozilla-ai/llamafile_0.10/resolve/main/Ministral-3-3B-Instruct-2512-Q4_K_M.llamafile | Good | Good | Basic-medium | Lightweight RAG | No |
| Qwen 4B | `Qwen3.5-4B-Q5_K_S.llamafile` | https://huggingface.co/mozilla-ai/llamafile_0.10/resolve/main/Qwen3.5-4B-Q5_K_S.llamafile | Good+ | Good+ | Medium | Good | No |
| LLaVA 7B Q4 | `llava-v1.6-mistral-7b-Q4_K_M.llamafile` | https://huggingface.co/mozilla-ai/llamafile_0.10/resolve/main/llava-v1.6-mistral-7b-Q4_K_M.llamafile | Good | Medium | Limited | Medium | Excellent |
| Apertus 8B | `Apertus-8B-Instruct-2509.llamafile` | https://huggingface.co/mozilla-ai/llamafile_0.10/resolve/main/Apertus-8B-Instruct-2509.llamafile | Good+ | Good | Medium | Good | No |
| Qwen 9B | `Qwen3.5-9B-Q5_K_S.llamafile` | https://huggingface.co/mozilla-ai/llamafile_0.10/resolve/main/Qwen3.5-9B-Q5_K_S.llamafile | Strong | Strong | Strong | Strong | No |
| Ministral 3B BF16 | `Ministral-3-3B-Instruct-2512-BF16.llamafile` | https://huggingface.co/mozilla-ai/llamafile_0.10/resolve/main/Ministral-3-3B-Instruct-2512-BF16.llamafile | Stronger quality | Better writing | Medium | Good | No |
| LLaVA 7B Q8 | `llava-v1.6-mistral-7b-Q8_0.llamafile` | https://huggingface.co/mozilla-ai/llamafile_0.10/resolve/main/llava-v1.6-mistral-7b-Q8_0.llamafile | Better than Q4 | Better OCR | Limited | Better docs | Excellent |
| gpt-oss 20B MXFP4 | `gpt-oss-20b-mxfp4.llamafile` | https://huggingface.co/mozilla-ai/llamafile_0.10/resolve/main/gpt-oss-20b-mxfp4.llamafile | Very strong | Excellent | Excellent | Excellent | No |
| gpt-oss 20B Q5 | `gpt-oss-20b-Q5_K_S.llamafile` | https://huggingface.co/mozilla-ai/llamafile_0.10/resolve/main/gpt-oss-20b-Q5_K_S.llamafile | Very strong | Excellent | Excellent | Excellent | No |
| LFM2 24B | `LFM2-24B-A2B-Q5_K_M.llamafile` | https://huggingface.co/mozilla-ai/llamafile_0.10/resolve/main/LFM2-24B-A2B-Q5_K_M.llamafile | Very strong | Excellent | Very strong | Excellent | No |
| Qwen 27B | `Qwen3.5-27B-Q5_K_S.llamafile` | https://huggingface.co/mozilla-ai/llamafile_0.10/resolve/main/Qwen3.5-27B-Q5_K_S.llamafile | Excellent | Outstanding | Excellent+ | Outstanding | No |

## Official Repository

https://huggingface.co/mozilla-ai/llamafile_0.10
